Zip Code,Fiscal Year,No. of Awards,Grant Dollars,Grantor
10025,1996,110,"$644,844",New York
10025,1996,4,"$3,000",South Carolina
10025,1997,138,"$685,904",New York
10025,1997,2,"$3,000",Washington
10025,1998,88,"$756,026",New York
10025,1999,86,"$817,142",New York
10026,1990,2,"$1,452",New York
10026,1996,2,"$11,580",New York
10026,1997,4,"$25,518",New York
10026,1998,2,"$28,000",New York
10026,1999,2,"$29,680",New York
10027,1987,2,"$30,000",Massachusetts
10027,1987,92,"$1,074,836",New York
10027,1988,4,"$54,700",Massachusetts
10027,1988,2,"$2,000",Minnesota
10027,1988,82,"$1,123,850",New York
10027,1988,2,"$12,000",Puerto Rico
10027,1989,2,"$32,000",Massachusetts
10027,1989,110,"$1,318,092",New York
10027,1989,2,"$12,000",Puerto Rico
10027,1990,94,"$1,348,012",New York
10027,1990,4,"$24,000",Puerto Rico
10027,1991,64,"$1,109,970",New York
10027,1991,2,"$9,000",Puerto Rico
10027,1992,52,"$669,428",New York
10027,1993,40,"$543,764",New York
10027,1994,2,$400,Mid Atlantic Arts Foundation
10027,1994,2,"$53,332",New England Foundation for the Arts
10027,1994,46,"$628,734",New York
10027,1995,2,$400,Mid Atlantic Arts Foundation
10027,1995,52,"$770,434",New York
10027,1996,4,"$50,000",New England Foundation for the Arts
10027,1996,42,"$550,342",New York
10027,1997,52,"$603,122",New York
10027,1998,2,"$9,900",Mid Atlantic Arts Foundation
10027,1998,8,"$132,000",New England Foundation for the Arts
10027,1998,34,"$658,234",New York
10027,1999,2,"$1,100",Mid Atlantic Arts Foundation
10027,1999,42,"$798,994",New York
10028,1986,2,"$9,600",Massachusetts
10028,1987,2,"$4,000",Massachusetts
10028,1987,26,"$1,546,538",New York
10028,1988,2,"$4,360",Massachusetts
10028,1988,56,"$1,945,290",New York
10028,1989,38,"$1,639,200",New York
10028,1990,30,"$1,633,490",New York
10028,1991,26,"$1,395,602",New York
10028,1992,16,"$573,560",New York
10028,1993,2,"$2,880",Massachusetts
10028,1993,6,"$412,586",New York
10028,1994,8,"$441,670",New York
10028,1995,12,"$647,100",New York
10028,1996,18,"$720,470",New York
10028,1997,24,"$539,014",New York
10028,1998,6,"$445,000",New York
10028,1999,4,"$460,000",New York
10029,1987,78,"$914,000",New York
10029,1988,58,"$679,878",New York
10029,1989,122,"$1,379,650",New York
10029,1990,126,"$1,481,390",New York
10029,1991,86,"$1,130,204",New York
10029,1992,88,"$616,990",New York
10029,1992,2,"$1,700",Puerto Rico
10029,1993,50,"$469,446",New York
10029,1993,2,"$2,400",Puerto Rico
10029,1994,58,"$634,238",New York
10029,1995,60,"$668,202",New York
10029,1996,2,$500,Mid Atlantic Arts Foundation
10029,1996,44,"$512,020",New York
